Age range,Single life,Joint life,Certain life
<= 45,4688.00,390.00,859.00
45-50,9350.00,784.00,430.00
50-55,11161.00,2357.00,1046.00
55-60,20297.00,7494.00,2762.00
60-65,28553.00,13938.00,6094.00
65-70,20582.00,10492.00,3096.00
70-75,13494.00,5257.00,2237.00
75-80,7728.00,2224.00,1252.00
80-85,4865.00,978.00,982.00
>85,3401.00,507.00,1168.00
