Year,returns
'02,6.36
'03,5.90
'04,5.66
'05,5.63
'06,5.69
'07,5.75
'08,5.41
'09,5.14
'10,5.24
'11,5.10
'12,4.92
'13,4.85
'14,4.83
'15,4.66
'16,4.56
'17,4.58
'18,4.57
'19,4.41
'20,4.13
